id,name,location,official_url,legacy_lat,legacy_lng,lat,lng,coordinate_source,coordinate_status
record,十勝平野蒸溜所,北海道中川郡幕別町札内北町55-2,https://tokachi-pd.jp/,42.9149,143.248,,,none,approx
record,辰巳蒸留所,岐阜県郡上市八幡町稲成887-7,https://www.facebook.com/TatsumiDistillery/?locale=ja_JP,35.7481,136.9587,,,none,approx
record,丹沢蒸溜所,神奈川県足柄上郡山北町中川822-1,https://tanzawa-distillery.com/index.html,35.4588,139.0565,,,none,approx
cand-kanagawa-shonan,湘南蒸留所,神奈川県茅ヶ崎市香川7-10-7,https://kumazawa.jp/kumazawa-tsushin/post-20240919-5/,35.360902,139.40191,,,none,approx
cand-jwic-seed-001,利尻蒸留所,北海道利尻郡利尻町沓形神居128-2,https://kamuiwhisky.com/ja/home-ja/,45.1872,141.2405,,,none,approx
cand-jwic-seed-002,馬追蒸溜所,北海道夕張郡長沼町加賀団体,https://maoidistillery.com/,42.9846,141.7372,,,none,approx
cand-jwic-seed-003,サワマチ蒸溜所,北海道,http://sawamachi.jp/index.html,43.06417,141.34694,,,none,approx
cand-jwic-seed-004,ディ・トリッパー蒸留所,北海道函館市元町31-20,https://ditripper.com/,41.7659,140.7123,,,none,approx
cand-jwic-seed-005,南部美人 本社蔵,岩手県二戸市福岡上町13,https://www.nanbubijin.co.jp/company/,40.2716,141.3026,,,none,approx
cand-jwic-seed-006,月光川蒸留所,山形県飽海郡遊佐町菅里字菅野37-14,https://gakkogawa.com/,39.06524,139.87658,,,none,approx
cand-jwic-seed-007,玉野アセンド蒸留所,福島県,https://tamano-ascend-distillery.jp/,34.4869,133.9453,,,none,approx
cand-jwic-seed-008,天鏡蒸溜所,福島県,https://www.tenkyo.jp,33.2654,131.1862,,,none,approx
cand-jwic-seed-009,高藏蒸留所,茨城県,https://takazo.meirishurui.com/,34.7062,135.4983,,,none,approx
cand-jwic-seed-010,八郷蒸溜所,茨城県,https://kiuchibrewery.co.jp/brewery/yasatodistillery/,36.2253,140.2102,,,none,approx
cand-jwic-seed-011,Stork Valley Distillery,栃木県小山市神鳥谷4丁目1番53号,https://stork-valley-distillery.com/,36.30095,139.7896,,,none,approx
cand-jwic-seed-012,日光街道 小山蒸溜所,栃木県,https://nishiborisyuzo.com/site/nikko-kaido-oyama-distillery/,36.56583,139.88361,,,none,approx
cand-jwic-seed-013,倉渕蒸留所,群馬県,https://kurabuchi-distillery.jp/,36.39111,139.06083,,,none,approx
cand-jwic-seed-014,北軽井沢蒸留所,群馬県,https://link-kitakaru.co.jp,36.39111,139.06083,,,none,approx
cand-jwic-seed-015,羽生蒸溜所,埼玉県,https://toashuzo.com/,35.85694,139.64889,,,none,approx
cand-jwic-seed-016,鴻巣蒸溜所,埼玉県,,35.85694,139.64889,,,none,approx
cand-jwic-seed-017,秩父第2蒸溜所,埼玉県,https://www.instagram.com/chichibu_distillery/,35.85694,139.64889,,,none,approx
cand-jwic-seed-018,mitosaya薬草園蒸留所,千葉県夷隅郡大多喜町,https://mitosaya.com/,35.28734,140.24518,,,none,approx
cand-jwic-seed-019,須藤本家,千葉県,https://www.sudouhonke.co.jp,35.60472,140.12333,,,none,approx
cand-jwic-seed-020,吉田電材蒸留所,新潟県,https://yoshidadenzai-distillery.com,37.90222,139.02361,,,none,approx
cand-jwic-seed-021,新潟亀田蒸溜所,新潟県,https://kameda-distillery.com/,37.8826,139.0635,,,none,approx
cand-jwic-seed-022,深沢原蒸溜所,新潟県,https://www.hakkaisan.co.jp,37.90222,139.02361,,,none,approx
cand-jwic-seed-023,オリエンタル金沢蒸溜所,石川県金沢市東町32,https://orientalbrewing.com/distillery/,36.5728,136.6647,,,none,approx
cand-jwic-seed-024,富嶽蒸溜所,山梨県,https://sasakawa-whisky.jp,35.66389,138.56833,,,none,approx
cand-jwic-seed-025,富士北麓蒸留所,山梨県,,35.66389,138.56833,,,none,approx
cand-jwic-seed-026,Far Yeast 源流蒸溜所,山梨県,https://faryeast.com,35.66389,138.56833,,,none,approx
cand-jwic-seed-027,飯山マウンテンファーム蒸溜所,長野県,,36.65139,138.18111,,,none,approx
cand-jwic-seed-028,御代田蒸留所,長野県,https://www.kanchiku.com,36.65139,138.18111,,,none,approx
cand-jwic-seed-029,軽井沢ウイスキー蒸留所,長野県,https://karuizawadistillers.com,36.65139,138.18111,,,none,approx
cand-jwic-seed-030,飛騨高山蒸溜所,岐阜県,https://www.whisky-hida.com,35.39111,136.72222,,,none,approx
cand-jwic-seed-031,Distillery Water Dragon,静岡県三島市大社町18-5,https://whiskey.co.jp/waterdragon,35.119689,138.919388,,,none,approx
cand-jwic-seed-032,井川蒸溜所,静岡県静岡市葵区田代字大春木1299-1,https://juzan.co.jp/contents/ikawadistillery/,35.2152,138.2217,,,none,approx
cand-jwic-seed-033,清洲桜醸造 本社工場,愛知県清須市清洲1692番地,https://onikoroshi.co.jp/company/,35.18028,136.90667,,,none,approx
